udm,ru
Ольга Краснова,Ольга Краснова
Мар та таӵе ?,Что такое этот
- Ми но доцент,Мы и доцент
Ушъязы Абдрамовез,Абдрамов похвалил
Колбасаен ӵош ...,Колбаса вместе
"Ну , шуом , пуком куинёзь","Ну , скажу , три сибирки"
Любовь Тихонова,Любовь Тихонова
"Ну мар , кошким !",Ну что ушел
Нокинлы кулэтэмен,Никому ненужно
Газдэ кыс ! »,Потушили газы
Угось куд-огез вирзэ толэзяз кык пол но сётэ,Ведь кровь некоторых месяцев два раза и дала
Семья Нылкышноос пумит ...,"Дамы , напротив , семья"
Рабочийёс но интеллигенция пӧлын туж вӧлмемын вал эсеръёс,Интеллигенция и рабочий очень распространены среди лошадей эсеров
Ирина Зайцева,Ирина Зайцева
Кин кызьы валаз Президентлэсь верамзэ,"как понял президент , как говорил"
"Татьяна Шкляева , Удмуртиысь « Лудорвай » музейлэн директорез :","Татьяна Шкляева , директор Лудорва музея"
Зинаида Рябинина,Зинаида Рябинина
« Шӧкыч » кар усьтӥськиз !,Шершень в городе падает
Елена Сараматова,Елена Сараматова
Антонида Ермолина,Антонида Ермолина
Зинаида Рябинина,Зинаида Рябинина
Антонида Ермолина,Антонида Ермолина
Черк вӧзысь турын пӧлын,Среди сена церковь
Угось полуфиналын азьпалан мынэ вал Китайысь команда,Ведь в полуфинале впереди идут лошади в Китае команды
Сюан - Адямиен Сюан,"Свадьба людей , свадьба"
Валентина ЕМЕЛЬЯНОВА,Валентина Емельянова
Ольга НИГАМАТУЛЛИНА,Ольга Нигаматуллина
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » телеканал,Я на телеканале вУдмуртии
« Мынам Удмуртие » телеканал,Я на телеканале вУдмуртии
Елена Скворцова,Елена Скворцова
Ольга Зорина,Ольга Зорина
Татьяна Банникова,Татьяна Банникова
Елена Скворцова,Елена Скворцова
Ольга Прокопьева,Ольга Прокопьева
Валентина Емельянова,Валентина Емельянова
Эшшо патока ватсаськом на,Ещ патоки добавил ещ
Геннадий Романов,Геннадий Романов
Геннадий Романов,Геннадий Романов
Кинлы юрттоз Кастрен ?,кому поможет Кастрен
Сессилэн ужез минутъёсын-минутъёсын гожъямын вал,Сессия писала в работу на лошади
Адямиос милемыз валало,мы поняли человека
Адресэз : www.cimo.fi,Адрес адрес
Кыкетӥез — квота,Два на два квоты
Елена Тугашова,Елена Тугашова
Ольга НИГАМАТУЛЛИНА,Ольга Нигаматуллина
Миляуша НИГАМАТУЛЛИНА,Миляуша Нигаматуллина
Дима но вӧзамы ог дырлы пуксиз,Дима и около одного времени сели
Ирина САМИГУЛОВА,Ирина Самигулова
Миляуша БУЛАТОВА,Миляуша Булатова
Галина Богданова,Галина Богданова
Та уж люкетъёсын-люкетъёсын мыноз,часть этой работы пойдет
"Туннэ Александр Белоноговлэн удмурт литератураын , культураын интыез сярысь вера кылосбур наукаосъя кандидат Виктор Шибанов",Сегодня Александр Белоногов в удмуртской литературе об истории страны говорит кандидат в филологию от кандидата Виктора
Сыӵе легенда,Такая легенда
Альбина Бушмакина,Альбина Бушмакина
Глазов кар,Глазов в городе
– Скалъёсты,корова корова
Мультикысь адӟи,Мульк видел
Милемыз яратӥськод !,мы любим
Люба МИХАЙЛОВА,Люба Михайлова
Вика ЧЕКИНА,Вика Чекина
Писэйгурт школа,Писэйгурт в школе
Надежда сыӵеос пӧлысь,Среди Надежд
Альбина Бушмакина,Альбина Бушмакина
Соку кинлы ?,Тогда кто
"Кылсярысь , лыктӥз программист",программист пришел
Елена Миннигараева,Елена Миннигараева
Уг яратӥськы та « переходной » этапъёсты,Сегодня Не люблю этого переходного этапа
Марина Пахомова,Марина Пахомова
Кулэ на инвестор но,Надо ещ инвесторам и инвесторам
Елена Сараматова,Елена Сараматова
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » телеканал,Я на телеканале вУдмуртии
« Мынам Удмуртие » телеканал,Я на телеканале вУдмуртии
Георгий Грязев,Георгий Грязев
Чорыгтэк ноку ум бертӥське,Рыба никогда не вернется
Дмитрий Жигалов,Дмитрий Жигалов
Кин юрттоз дружинниклы ?,кому помогут дружинники
Александр Кирилин,Александр Кирилин
Наташа Кириллова,Наташа Кириллова
Пикапын таш-таш душманъёс пуко,Душман Пикапов сидел
Яке кошкиськомы Украинаысь Полтава городэ,Или Украина уйдет в Полтаву или город
Бакчамес мерттӥмы,Цель огорода
Ольга Корепанова,Ольга Корепанова
Перепечлы ыльнянь,Тесто перепечи
Белковой кремен бисквит,Бисквит белковый крем
Валентина Емельянова,Валентина Емельянова
"Ирина Николаева. , Можга город","Ирина Николаева , Можга города"
Мар сярысь вера выль герой ?,"говорили об новости , что герой"
Ӟуч бордысь удмурт,Удмуртский около русского
Кинъёс ми ? »,Кто за нас
Анастасия Шумилова,Анастасия Шумилова
Бадӟым страна куашказ,Большая страна разрушилась
Сергей ЗАХАРОВ,Сергей Захаров
"Ум валаське , малы","Не понять , зачем"
Галина Лекомцева,Галина Лекомцева
"Ми ветлыку , зоотехниклэн кабинетаз куинь нылкышноос пуко вал","Мы ходили в кабинет зоотехника , три дамы сидели на лошади"
Альбина Бушмакина,Альбина Бушмакина
« Мынам Удмуртие » телеканал,Я на телеканале вУдмуртии
Юргис Алексеев « Мынам Удмуртие » телеканал,"Юргис Алексеев , я на телеканале вУдмуртии"
Светлана Кибардина « Мынам Удмуртие » телеканал,"Светлана Кибардина , я на телеканале вУдмуртии"
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
Ярмарка кык площадкаын ужалоз,на ярмарку работают две площадки
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
- Специалистъёсмы ӟечесь,Хороший специалист
Кыӵе мынэ таиз ужды ?,пойдет эта работа
Тужгес но нюлэсэз,И очень лес
• Мария Кузнецова но Алевтина Карпова,Мария Мари Кузнецова и Алевтин Карпов
Раиса Перевощикова,Раиса Перевощикова
Ужаны нокытын,Работаешь нигде
"Таиз но Москваысь , ужамын бухгалтерын",В этой Москве и работают бухгалтеры
Кытчы кароно ?,Куда делать
"Пединститутын ужакум , улӥмы общежитиын",Пединститут работает ниже общежития
Таиз медицина наукаосъя кандидат,Эта медицина кандидат в кандидаты
Вика Самарина,Вика Самарина
Анастасия Никонова,Анастасия Никонова
Лукерья Шихова,Лукерья Шихова
Любовь Тихонова,Любовь Тихонова
Школалы ми дасесь,мы готовы в школе
Часта ветло ...,Непонемно ходим
Сюлэмшугме верай пичи классъёсын ужась дышетӥсьлы Римма Ичетовкиналы,"говорил о тревоге , говоря о маленьком классе , сегодня , научили Римму Ичетов вчера говорил о тревоге , говоря о маленьком классе , , научили Римму Ичетов"
Тэшкыли школалы дась :,Щелчок в школе готов
Геннадий Романов,Геннадий Романов
"Людмила Андреевна , пенсионер :",Людмила Андреевна пенсионер
Татьяна Банникова,Татьяна Банникова
Соку куинь ар служить кароно вал,Тогда три года служили делать лошади
Кыӵе мон преподаватель вал ?,Какой я преподаватель лошади
Мон отчы ужаны кошки,я работал туда
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
Званиезъя подполковник ни,Уже звание подполковника
Альбина Бушмакина,Альбина Бушмакина
Адӟем кароно сэпъёсэсь !,"видел , видел"
Бречаловен пумиськизы школа садзы азьын,Бречалов встречался перед школой
Елена Рябина,Елена Рябина
Елена Никитина,Елена Никитина
Ирина Борисовнаен клубын пумиськимы,Ирина Борисовна находилась в клубе
"- Худрукмы Елена Владимировна Власова вуриське , - шуэ Ирина Борисовна","Худрук Елена Владимировна Власова , сказала Ирина Борисовна"
Шумпотӥськомы егитъёслэн хоре лыктэмзылы,Радостья пришла в хор вчера сегодня Радостья пришла в хор
Альбина Бушмакина,Альбина Бушмакина
Елена Сараматова,Елена Сараматова
Ольга Корепанова,Ольга Корепанова
Елена Сараматова,Елена Сараматова
Кызьы гожтӥмы удмурт но ӟуч диктантъёсты,Удмуртский написало как и русский диктант
Пичи удмурт,Удмуртский маленький
Бадӟым ӟуч ...,Русские большие
Валентина Емельянова,Валентина Емельянова
Лариса Гурьянова,Лариса Гурьянова
Ирина ШАЙХЛИСЛАМОВА,Ирина Шайхлисламова
Амосова но мукетъёс,Амосова и другие
"« Куинь иськемлы матэ ветлӥськом » , - верало бальзюгаос","Три версты , мат , ходят , говорят , в Бальзюгу"
Сабанчин верам,Сабанчин говорил
Ольга НИГАМАТУЛЛИНА,Ольга Нигаматуллина
Ольга НИГАМАТУЛЛИНА . * * *,Ольга Нигаматуллина
Марина ХИСАМУТДИНОВА,Марина Хисамутдинова
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
( Владислав Лекомцев ),Владислава Лекомцева
Форумез усьтӥз ТР-лэн Президентэз Рустам Минниханов,на форуме форума падал президент Рустам Минниханов
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » телеканал,Я на телеканале вУдмуртии
Светлана Кибардина « Мынам Удмуртие » телеканал,"Светлана Кибардина , я на телеканале вУдмуртии"
« Мынам Удмуртие » телеканал,Я на телеканале вУдмуртии
« Кин нырысетӥез ? »,Кто первый
Калыккуспо ужрадэ билет шедьтыны секыт,По международной мере билеты нашли тяжесть
Елена Вахрушева,Елена Вахрушева
Ольга Серебрякова,Ольга Серебрянякова
Вениамин Марков,Вениамин Марков
Зоя Никифорова,Зоя Никифорова
Ӵыдытэк пукылӥм,Сидил мог
Жанна Кудрявцева ( Ува ),Жанна Кудрявцева
Ольга Некрасова ( Балезино ),"Ольга Некрасова , Балезино"
Сергей Кожевников ( Эгра ),Сергей Кожевников на игре
Геннадий Владыкин ( Шаркан ),Геннадий Владыкин Шарканов
Вениамин Ефремов ( Эгра ),Вениамин Ефремов на игре
"Ксения , Ольга но Дмитрий Веретенниковъёс ( Ува )",Ксения Веретенникова и Дмитрий Ува
"Григорий , Людмила но Алексей Семакинъёс ( Эгра )",Людмила Людмила и Алексей Семакин на игре
"Егор , Екатерина но Сергей Сабуровъёс ( Кез )",Екатерина и Сергей Сабуров рыскали
"Владислав , Лариса но Александр Афанасьевъёс ( Сюмси )",Лариса Лариса и Александр Афанасьев Сюмси
Татьяна Волкова ( Глаз ),"Татьяна Волкова , Глазов"
Степан Кадров ( Алнаш ),Степан Кадров Алнаши
Олег Пчельников ( Сьӧлта ),Олег Пчельников
Дэбес но Юкаменск,Дебесы и Юкаменское
"Красногорск , Кияса , Сьӧлта , Сюмси",В Красногорске Кияса Селты Сюмси
Валентина Емельянова,Валентина Емельянова
Владимир Беломорских,Владимир Беломорский
Елена Скворцова,Елена Скворцова
Монэ вузасьёсыз но вал,Я предатели и лошади
Елена Сараматова,Елена Сараматова
Елена Миннигараева,Елена Миннигараева
Ольга Корепанова,Ольга Корепанова
Киножурналлэн героез,Героев киножурнала
Якшур муниципал кылдытэтлэн йырыз Николай Мерзляков,Якшур муниципальное образование в голове Николая Мерзлякова
"Ничё , шуэ , вераськом",", говорит , ничего не говори"
Елена Миннигараева,Елена Миннигараева
Людмила Сурчакова,Людмила Сурчакова
Сергей Агичев,Сергей Агичев
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Анна БАЙДУЛЛИНА,Анна Байдуллина
Ольга НИГАМАТУЛЛИНА,Ольга Нигаматуллина
Шайхлисламова ) усьтӥз,Шайхлисламов падал
Марина НИКОЛАЕВА,Марина Николаева
Кружокез И.А,В кружок по кружоку
Яковлев дышетэ,Яковлев научил
Эшшо лыктыны куризы на,Ещ просил прийти на Ещ
Ольга МОСКВИНА,Ольга Москвина
« Мынам Удмуртие » радио,Я в Удмуртии на радио
Елена Наговицина,Елена Наговицина
Иж город,В Ижевске город
Россия Федерациысь Сбербанк,Федерация Сбербанка в России
Борисовлы памятниклэн кӧня ке эскизэз вал,"Сколько памятников Борисову , если эскиз лошади"
Шумпотыса ветлӥськомы,Радость ходить
Валентина Емельянова,Валентина Емельянова
Любовь Тихонова,Любовь Тихонова
Елена Васильева,Елена Васильева
Удинъёс сярысь гожъяз Геродот но,Геродот Удин писал и об этом
"Но вераны кулэ , К",Но и говорить надо
Сарапулын усьтӥськиз « Музей квартал »,Сарапул падает в музее в квартал
Эстониысь Элина но Удмуртиысь Лара,Эстония Элина и Лара в Удмуртии
Зинаида Рябинина,Зинаида Рябинина
Елена Никитина,Елена Никитина
Паша Вахрушев,Паша Вахрушев
Сергей Захаров,Сергей Захаров
Открытка дась !,Готовы открытки
Дарья Шиляева,Дарья Шиляева
Ольга МОСКВИНА,Ольга Москвина
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Муниципал кылдытэтлэн бюджетэз начар,Бюджет муниципального образования бедно
"Вениамин Серебренников , Дэбес черкогурт муниципал кылдытэтлэн йырыз :","ВениаминСеребренников , село Дебесов , административное образование в голове"
- Туннэ июль толэзь ни,сегодня Август месяц уже
Вунэтымтэ ужасьёс но,И забыло работать
Ӝытазе мон доразы мынӥ,я шел около вечера
Мунчомы гинэ но кык семьялы одӥг вал,"В бане только и две семьи , одна лошадь"
"Пичиез , Игорь , Можгаысь льносемстанциын ужа",маленький Игорь Можга работает
Хозяйствомес пичи уд шуы,О хозяйстве маленькое не сказать
Верай ни нянь сётон сярысь,говорили уже об хлебе
Иван Белослудцевен пумиськиз Надежда Николаева,Иван Белослудцев встречался с Надеждой Николаевой
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Наталия Самсонова,Наталия Самсонова
"Уг , дыр",Время не время
Елена Миннигараева,Елена Миннигараева
Та бичет сярысь ми уно пол гожъяллям ни,Об этом сборнике мы много раз писали уже
Турова но мукетъёсыз,Турова и другие
Валентина Емельянова,Валентина Емельянова
"Авторъёслэсь ужъёссэс тупатъя , гожъяське",сегодня автор чинит работу автор чинит работу
Мордовиысь Алина Подгорнова,Алина Подгорнова Мордовия
Галина Сунцова,Галина Сунцова
Лариса Дмитриева,Лариса Дмитриева
"Зинаида Рябинина , « Удмурт дунне » газетлэн редакторез :","Зинаида Рябинина , редактор газеты , удмуртский мир"
"Светлана Едыгарова-Мантель , Финляндиысь Хельсинки университетысь наукаосъя доктор :","Светлана Едыгарова в Финляндии , Хельсинки университет , наука , доктор"
Финляндиын улон туж дуно,Жизнь в Финляндии очень ценна
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
"Россиысь сяна , Словакиысь , Латвиысь , США-ысь , Сербиысь , Германиысь , Словениысь , Грециысь , Турциысь , Украинаысь , Беларусьысь но Узбекистанысь","Россия , кроме Словакии , Латвия , США , Сербия , Турция"
Мынам Удмуртие,Я вУдмуртии
Оксана Москова,Оксана в Москове
Ольга Прокопьева,Ольга Прокопьева
Туннэ завод банкротэн ялэмын,сегодня завод в объявлении банкрота
Олег Радионов шуэ :,Олег Радионов сказал
"Кылсярысь , металлургия",Например металлургия
Мар кароно ?,Что делать
Людмила Сурчакова,Людмила Сурчакова
Кулаковалэн спорткомплексаз,Кулакова на спорткомплексе
Валентина Емельянова,Валентина Емельянова
Куинь но ӝыны ар служить кари,Три и половина года служили и делали
Николай Павлов,Николай Павлов
Людмила Сурчакова,Людмила Сурчакова
Февраль толэзь,Декабре месяц
« Советской Удмуртия » газетъёсын,Удмурт в советской газете
Милитина Михайлова,"Милитина , Михайлов"
"Геннадий Капитонович шудӥз комедиосын , трагедиосын но драмаосын",Геннадий Капитонович играл в драма в трагедии и в драмах
"Тазалык тӥледлы , Геннадий Капитонович !",здоровье вы Геннадий Капитонович
Анна Евсеева,Анна Евсеева
Елена Скворцова,Елена Скворцова
Миляуша НИГАМАТУЛЛИНА,Миляуша Нигаматуллина
Ирина КАБИПЯНОВА,Ирина Кабипова
Миляуша БУЛАТОВА,Миляуша Булатова
Мынам Удмуртие,Я вУдмуртии
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
Альбина Бушмакина,Альбина Бушмакина
Лариса Гурьянова,Лариса Гурьянова
Зинаида Рябинина,Зинаида Рябинина
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
"Ахметшин , И",Ахметшина и Ахметшин
Миляуша НИГАМАТУЛЛИНА,Миляуша Нигаматуллина
Миляуша БУЛАТОВА,Миляуша Булатова
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
Библиотекарь Галина Бахтина шуэ :,Галина Бахтина сказала в библиотеке
"Ижын сяна , Глазовын но Воткаын",Кроме Глазова и Воткинска
Мар комедия та ?,Что за эта комедия
Милям делегациямы нылмурт вал,Мы на делегацию женщин на лошади
Пичи гинэ флэшка шуон но бадӟым альбом,Только флэшка маленькая и большой альбом
Мироновлэн из коллекциез,Коллекция Миронова
ЖУЖА ШАЛАНКИЛЭН ЛЕКЦИОСЫЗ,"Шаланки , лекции Жужа"
"Сюан ке , сюан !","Если свадьба , свадьба"
Картошкамы мешок пыдэсын гинэ на,"Картошка , мешок , только на дно ещ"
Вовалы кыкетӥ инты сётӥллям,Вова дал два места
• Мария Ермолаевна но Василий Владимирович,Мария Ермолаева и Василий Владимирович
"Александр Бикузин , « Мынам Удмуртие » телерадиокомпаниысь журналист","Александр Бикузин , я в телерадиокомпании журналистов Удмуртии"
Политика но экологи,Политика и экология
Соку адями музъемлы юрттыны кулэ,Тогда людям на земле надо помочь
Адямиен йырин,Люди головой
Тужгес но каръёсын,И очень в городе
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
"ОЛЕГ КОНОНОВ , ФЕРМЕР ВОЗЁСЛЭН УПРАВЛЯЮЩИЕЗ : « Ферма полностью тани тупатъязы , пол , кормовой стол заменитьтӥзы","Олег Кононов фермеров , хозяйство управляющего фермой , полностью чинил кормовой стол"
"ОЛЕГ КОНОНОВ , ФЕРМЕР ВОЗЁСЛЭН УПРАВЛЯЮЩИЕЗ :","Олег Кононов , управляющий хозяйством управляющего"
"Юргис Алексеев , Руслан Нуриахметов « Мынам Удмуртие » телеканал","Юргис Алексеев , Руслан Нуриахметов , я на телеканале вУдмуртии"
Милям куинь батареямы вал,На батарее мы три лошади
"Войнаысь бертыса , Коля но Ижысь заводэ ужаны мынӥз . * * *",В войну вернулся Коля и пошел на завод
Ньыль нуноксы,Четыре внука
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » телеканал,Я на телеканале вУдмуртии
« Мынам Удмуртие » радио,Я в Удмуртии на радио
Рамиль Нутфуллин,Рамиль Нутфуллин
муниципальной районлэн главаез,Глава муниципального района
Альбина Бушмакина,Альбина Бушмакина
Лариса Гурьянова,Лариса Гурьянова
Туннэез но чуказеез »,сегодня и сегодня
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Ижысь школаосын инженеръёсты будэтозы,Завтра в Ижевске школы инженеров выращивают
Антонида Ермолина ( Ижевск ) :,Антонида Ермолина в Ижевске
Метрикалы тятяе огназ ветлэм,один отец ходил
Ульфат Бадретдинов ( Ижевск ) :,Ульфат Бадретдинов в Ижевске
Любовь Тихонова ( Ижевск ) :,Любовь Тихонова в Ижевске
Елена Петрова ( Ижевск ) :,Елена Петрова в Ижевске
Вероника Самсонова ( Ижевск ) :,"Вероника Самсонова , Ижевск"
Ольга Корепанова,Ольга Корепанова
Елена Никитина,Елена Никитина
Елена Никитина,Елена Никитина
Любовь Глебова но Александр Бречалов,Любовь Глебова и Александр Бречалов
Педагогика наукаосъя доктор,Ученый в науке доктора
Сергей Захаров,Сергей Захаров
Ингож : Сӥзьыллы ӧч карон,Осенью за горизонтом делают злобу
Зинаида Рябинина,Зинаида Рябинина
Лариса Дмитриева,Лариса Дмитриева
Валентина Емельянова,Валентина Емельянова
Докладчик вераське синонимъёс но омонимъёс сярысь,докладчик говорит об синонимах и об омонимах
Геннадий Ушаков,Геннадий Ушаков
Зинаида Рябинина,Зинаида Рябинина
Сергей Захаров,Сергей Захаров
Пельняньысен Китаёзь,В Китае пельмень
Галина Савина,Галина Савина
Галина Савина,Галина Савина
Элина Васильева,Элина Васильева
Чеховлэн дачаез,Чехов на даче
Ольга Корепанова,Ольга Корепанова
Елена Никитина,Елена Никитина
Ольга Петрова,Ольга Петрова
Туннэ нюлэскын куинь бригада тэль кора,сегодня в лесу три бригады рубили лес
- Кызьы Юли ?,Юли как
Путинлэн наградаосыныз,За награду Путина
Театрез усьтоз « Тюштя »,театр падает
"Япониын , кылсярысь , азвесьлэн люкетъёсыныз омырез чылкытато","В Японии , например , серебро часть воздуха очищена"
"Кылсярысь , таиз :","Например , эта"
Балалайкаен но шудӥз на,Балалайка и Ещ играли в балалайки
Монэ комсорге но бырйылӥзы,Комсорг выбирал меня и я
Кириллмы Зура школаын ужъя дышетӥсь но психолог,Кирилл Зура в школе научил работу и психолога
"Кылсярысь , семьяе мерттэ картошка","Например , семья в картошку"
Сяськаос но мерттоно,Выращивайте цветы и цветы
Гужемзэ азбаръёсмес но шулдыртӥськом,Летом двор и развеселило
Ирина Эсенкулова,Ирина Эсенкулова
Валентина Емельянова,Валентина Емельянова
мон тонэ,я за тобой
Мон уг мын палэнэ,Я не иду в сторону
Татын лымыя на,Здесь снег ещ
Ижын сяськая ни,В Ижевске цветы уже
Таосызлэсь ӝыны кило героинзэс шараямы,Эта половина кило выявила
"Кылсярысь , Виктор Григорьевич Кучеров , Алексей Афанасьевич Коновалов , Владимир Иванович Кулагин , Лев Евгеньевич Михайлов , Олег Иванович Шаврин но Иван Кузьмич Пичугин","Например , Виктор Григорьевич Кучеров , Алексей Иванович Кулагин , Лев Ивановича Шаврина"
"- Ужаны сяна , мар карыны яратӥськоды ?","Кроме того , работать любят"
Ми песяеным ӵош улӥмы,Мы ниже бабушки
"- Фома Кузьмич , тӥледыз юнме шорысь « улэп энциклопедия » уг шуо","Фома Кузьмич затвердил вас в середине энциклопедии , не сказав"
Герман Скурыгин -,Германский Скурыгин
Валерий Сунцов -,Валерий Сунцов
Спортъя мастер,Мастер спорта
Тамара Тихонова -,Тамара Тихонова
Спортъя мастер,Мастер спорта
Анатолий Корепанов -,Анатолий Корепанов
Спортъя мастер,Мастер спорта
Михаил Землянов -,Михаил Землянов
Спортъя мастер,Мастер спорта
Колотовлэн хозяйствооссы,Колотов в хозяйстве
Фермаос дасесь вал,Конь на ферме готов лошадь
Галина Сунцова,Галина Сунцова
Гожтӥ мон,я написал
"Уг валаськы , мар веран но","не понял , что и говорю"
Ми Можга карлэсь,Мы в Можге города
﻿Посол Г,Посол посол
Театрен кивалтӥз Анатолий Митрофанов,Анатолий Митрофанов руководил театром
Любовь Тихонова,Любовь Тихонова
Олег Иванов,Олег Иванов
"Удмуртиысь конкурсэ « Иднакар » заповедник , П",Удмурт Удмуртии на конкурсе Иднакара
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Галина Богданова,Галина Богданова
Кадрия Хазиева,Кадрия Хазиева
Данил Гилязетдинов,Данила Гилязетдинова
Римма Закирова,Римма Закирова
Гульзида Фатихова,Гульзида Фатихова
Антонида Васильева,Антонида Васильева
Айрат Гайнуллин,Айрат Гайнуллин
Венера Яковлева,Венера Яковлева
Ципьяысь потребительёслэн обществозы,Ципья потребителям общества
Равиль Кадыров,Равиль Кадыров
Равиль Шаймухамметов,Равиль Шаймухамметов
Раушан Хабибуллин,Раушан Хабибуллин
Ильшат Гильфанов,Ильшат Гильфанов
Раис Садыков,Раис Садыков
Михаил Васильев,Михаил Васильев
Гульсина Гарипова,Гарипова Гульсина
Школалэн пионер дружинаяз но уж пӧзе,"В школе пионеры , дружины и в работе вариться"
Лилия Накипова ( Зайнуллина ),"Лилия Накипова , Зайнуллина"
Светлана Пикулева « Мынам Удмуртие » радио,"Светлана Пикулева , я в Удмуртии на радио"
Тамашовез но оперуполномоченноез Д,Тамашова и Тамашов оперуполномоченные
Елена Сараматова,Елена Сараматова
Мар сярысь балет ?,Что об балете
Нылмурт быръе кыкетӥзэ,Сегодня выбираются две женщины
Чайковскийлэсь « Лебединое озеро » балетсэ,"Лебединое озеро , балет"
Тужгес но - карп,И очень Карп
Эшшо ке кыӵе !,Если ещ какой
Елена Рафаиловна,Елена Рафаиловна
Кызьы мон Сашатэк ? !,"Как я , Саша"
Николай Егоровичлэн ужъёсыз Удмурт театрлэсь улонзэ чебермало,Николай Егорович на работе в удмуртском театре украшает жизнь
Ольга Корепанова,Ольга Корепанова
Ӟуч кыл но литература,Завтра слышит и русская литература
Кунгожсьӧр кыл,Заграница слышит
— Витьсэ,Пять пять
Зинаида Рябинина,Зинаида Рябинина
Сергей Захаров,Сергей Захаров
Крезьгуро таксофон,Таксофон мелодий
Ӧсъёс усьтэмын,Открой дверь
